step,variant,decision,primary_metric,result,correctness,notes
1,watson-control-42k,control,prompt_tok_s,1238.551,pass,"TTFT 33.546 s; minimum free VRAM 651 MiB"
2,watson-control-decode-512,control,decode_tok_s_mean,44.568,pass,"Two repeats: 44.405 and 44.731 tok/s"
3,watson-routed-workflow,control,workflow_cases,4/4,pass,"Strict JSON and 12k retention passed"
4,bonsai-stock-runtime,discard,model_load,failed,fail,"Existing TurboQuant build does not support group-128 Q2_0"
5,bonsai-author-default-42k,keep-research,prompt_tok_s,1369.038,pass,"10.5% above control; TTFT 30.333 s"
6,bonsai-author-default-decode-512,keep-research,decode_tok_s_mean,70.871,pass,"Two repeats: 67.389 and 74.352 tok/s"
7,bonsai-thinking-default,discard,visible_qualitative_cases,0/5,fail,"Output budget consumed by reasoning_content"
8,bonsai-thinking-disabled,keep-research,qualitative_cases,4/5,partial,"Tied control count; weaker Discord tuning advice"
9,bonsai-context-80k,keep-research,prompt_tok_s,1159.808,pass,"78,823 tokens; TTFT 68.121 s; 1,582 MiB minimum free VRAM"
10,bonsai-context-131k,discard,vram_safety,156_MiB_idle,fail,"Loaded but violated VRAM headroom gate before a request"
11,bonsai-context-100k,keep-research,prompt_tok_s,1056.675,pass,"98,504 tokens; TTFT 93.468 s; 1,906 MiB minimum free VRAM"
12,bonsai-routed-workflow,discard-production,workflow_cases,3/4,fail,"Continuation JSON wrapped in a Markdown fence"
13,watson-restored,production-winner,workflow_cases,4/4,pass,"65,536 / 512 / 256; complete stack healthy"
14,bonsai-kv4-100k,keep-research,prompt_tok_s,1042.139,partial,"98,505 tokens; TTFT 94.705 s; 6,203 MiB minimum free VRAM"
15,bonsai-kv4-90k-workflow,discard-production,workflow_cases,3/4,fail,"92,566-token retention passed; continuation JSON remained fenced"
16,bonsai-kv4-125k,keep-research,prompt_tok_s,921.131,partial,"123,100 tokens; TTFT 133.861 s; 5,558 MiB minimum free VRAM"
17,bonsai-kv4-120k-workflow,discard-production,workflow_cases,3/4,fail,"123,424-token retention passed in 135.272 s; continuation JSON remained fenced"
18,watson-restored-after-kv4,production-winner,workflow_cases,4/4,pass,"Canonical 65,536 / 512 / 256 stack and Headroom route verified"
