step	status	decision	variant	prompt_per_second	batch_size	ubatch_size	target	elapsed_s	prompt_n	description	source
0	keep	baseline	current-65k-default	1213.997	default	default	61440	39.873	43917	Baseline 65k cold direct prefill with current TurboQuant stack defaults	_tmp/bench/direct-prefill-current-65k/direct-prefill-current-65k-20260625_030822.csv
1	keep	keep	b1024-ub512	1294.740	1024	512	61440	33.766	42091	Increase batch and ubatch to 1024/512; improves 61k cold prefill versus baseline	_tmp/bench/direct-prefill-batch-sweep-65k/single-b1024-ub512-20260625_031650.csv
2	discard	discard	b2048-ub512	1289.601	2048	512	61440	33.869	42091	Raise batch to 2048 while keeping ubatch 512; slower than previous challenger	_tmp/bench/direct-prefill-batch-sweep-65k/single-b2048-ub512-20260625_032258.csv
3	keep	keep	b1024-ub1024	1340.942	1024	1024	61440	32.648	42092	Raise ubatch to 1024 at batch 1024; best observed direct prefill throughput	_tmp/bench/direct-prefill-batch-sweep-65k/single-b1024-ub1024-20260625_033009.csv
4	repeat	repeat	b1024-ub1024-repeat	1307.122	1024	1024	61440	33.100	42080	Repeat the best candidate; still above baseline but below first win, so needs another confirmation and task gate	_tmp/bench/autoresearch-prefill-loop/repeat-b1024-ub1024-61k-20260625_034455.csv
5	discard	discard	b1024-ub1024-repeat3	987.449	1024	1024	61440	43.522	41012	Canonical-launcher repeat with cache_n=0 regressed below baseline; do not promote without controlled prompt-shape rerun	_tmp/bench/autoresearch-prefill-loop/repeat3-b1024-ub1024-61k-20260625_040209.csv
6	control	measure	fixed-current-live-42k	1193.416	live	live	42000	41.916	41382	Fixed-corpus live-stack control run with cache_n=0; validates new deterministic harness but is not directly comparable to 61k search points	docs/artifacts/autoresearch-prefill-loop-2026-06-25/fixed-current-42k-20260626_194012.csv
7	failed	fail	baseline-default-42k-aborted		512	256	42000			Aborted harness run before serializer tightening; PowerShell process spent CPU before producing CSV, likely during large prompt JSON serialization. Not a model performance result.	manual-observation-20260626_2015
8	control	baseline	baseline-default-42k	1235.880	512	256	42000	33.821	41383	Canonical 65k default same-corpus cold-cache baseline after JSON serializer fix; cache_n=0 and safe stack defaults	docs/artifacts/autoresearch-prefill-loop-2026-06-25/baseline-default-42k-20260626_201802.csv
9	repeat	needs-repeat	challenger-b1024-ub1024-42k	1319.205	1024	1024	42000	31.683	41383	Same fixed corpus as step 8 with batch/ubatch 1024/1024. Improves prompt tok/s by 6.7 percent but leaves only ~105 MiB free after run, so it requires repeat and task/VRAM gates before promotion.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub1024-42k-20260626_202237.csv
10	repeat	no-promote	challenger-b1024-ub1024-repeat2-42k	1326.823	1024	1024	42000	31.489	41383	Repeat confirms the speed signal for 1024/1024 on the same 41383-token corpus, but post-run GPU free memory remained ~109 MiB. Keep as speed ceiling candidate only; do not promote for Hermes usability.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub1024-repeat2-42k-20260626_203547.csv
11	keep	needs-task-gate	challenger-b1024-ub768-42k	1300.004	1024	768	42000	32.136	41383	Intermediate ubatch keeps most of the prefill gain (+5.2 percent over same-corpus default) while improving post-run GPU free memory to ~365 MiB. Best current balanced candidate, pending repeat and Hermes/Discord task gate.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub768-42k-20260626_203954.csv
12	discard	discard	challenger-b1024-ub768-repeat2-42k	1162.069	1024	768	42000	36.081	41383	Repeat of the balanced 1024/768 candidate failed the synthetic prefill gate: cache_n=0 but prompt tok/s fell below the same-corpus default. Do not run Hermes task gate or promote this profile without a new explanation/control run.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub768-repeat2-42k-20260626_205018.csv
13	control	baseline	baseline-default-repeat2-42k	1224.956	512	256	42000	34.083	41383	Fresh same-corpus canonical default control before testing 1024/512; confirms default baseline stability with cache_n=0.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/baseline-default-repeat2-42k-20260626_205655.csv
14	keep	needs-repeat-task-gate	challenger-b1024-ub512-42k	1288.665	1024	512	42000	32.412	41383	Same-corpus 1024/512 challenger beat the fresh default by ~5.2 percent and kept ~610 MiB free after run. Best current balanced candidate, pending repeat and Hermes/Discord task gate.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub512-42k-20260626_210138.csv
15	keep	synthetic-repeat-pass	challenger-b1024-ub512-repeat2-42k	1287.496	1024	512	42000	32.445	41383	Repeat confirmed 1024/512 on the same 41383-token corpus: +5.1 percent versus fresh default with cache_n=0 and ~610 MiB post-run GPU free memory.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub512-repeat2-42k-20260626_211055.csv
16	keep	route-gate-pass	route-gate-b1024-ub512		1024	512	8192	4.608	6050	LiteLLM/Headroom route gate passed on active 1024/512 profile: Test-Qwen36Proxy returned exact 'qwen36 proxy ok'; proxy throughput smoke completed context 0 and 8192 with 8192 elapsed 4.608s and total_tok_s 1319.299. Still requires heavier Hermes/Discord workflow gate before default promotion.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/route-gate-b1024-ub512-proxy-throughput-20260626_2111.csv
17	failed	fail	hermes-workflow-gate-harness-v1		1024	512	12000	0.039		Initial workflow-gate harness used a Responses input shape rejected by LiteLLM and produced 400s before any model work. Logged as harness failure, not profile failure.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/hermes-workflow-gate-b1024-ub512-failed-harness-20260626_212413.csv
18	keep	workflow-gate-pass	hermes-workflow-gate-b1024-ub512		1024	512	12000	11.519	12424	Heavier local Hermes-style workflow gate passed on active 1024/512 profile: exact response, strict JSON tool selection, 12k-token long-history retention, and continuation JSON all passed; longest case elapsed 8.725s with 12424 input tokens and cache_n/cached_tokens=0.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/hermes-workflow-gate-b1024-ub512-20260626_212515.csv
19	keep	ops-artifact	launcher-balanced-1024-512		1024	512	65536			Added opt-in candidate launcher that stops first by default, calls the canonical Start-Qwen36ZeroTierStack.ps1 with ContextSize 65536 BatchSize 1024 UBatchSize 512 Metrics ReplaceLiteLLM RouteHermesThroughHeadroom, and verifies the llama command line. This does not change the default profile.	scripts/windows/Start-Qwen36AutoresearchCandidate.ps1
20	keep	launcher-verified	launcher-balanced-1024-512-live		1024	512	65536			Opt-in launcher was run end-to-end: it stopped the stack, called the canonical launcher, loaded 1024/512, passed context verification, and verified the llama command line. The outer tool timed out after success, so the wrapper was patched with explicit exit 0. Default stack was restored afterward.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/candidate-launcher-balanced-1024-512-20260626_2137.txt
21	control	instrumented-baseline	baseline-default-stream-42k	1246.247	512	256	42000	35.775	41383	First streaming/peak-VRAM control: cache_n=0, TTFT 33386.774 ms, sampled minimum GPU free 840 MiB across 312 samples. Reported decode 23.456 tok/s was not reproduced by the restored control.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/baseline-default-stream-42k-20260711_211511.csv
22	keep	instrumented-challenger	challenger-b1024-ub512-stream-42k	1290.782	1024	512	42000	33.049	41383	Streaming challenger: cache_n=0, TTFT 32179.952 ms, sampled minimum GPU free 654 MiB across 301 samples.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub512-stream-42k-20260711_212031.csv
23	keep	instrumented-repeat-pass	challenger-b1024-ub512-stream-repeat2-42k	1304.722	1024	512	42000	32.660	41383	Streaming repeat confirmed the prefill/TTFT signal: cache_n=0, TTFT 31809.674 ms, sampled minimum GPU free 583 MiB across 300 samples.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-b1024-ub512-stream-repeat2-42k-20260711_212116.csv
24	keep	instrumented-workflow-gate-pass	hermes-workflow-gate-b1024-ub512-instrumented		1024	512	12000	11.181	12424	Exact response, strict tool JSON, long-history retention, and continuation JSON passed again on the instrumented candidate; Headroom remained healthy.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/hermes-workflow-gate-b1024-ub512-instrumented-20260711_212208.csv
25	control	instrumented-baseline-repeat	baseline-default-stream-repeat2-42k	1224.286	512	256	42000	34.792	41383	Restored explicit 512/256 control: cache_n=0, TTFT 33915.882 ms, sampled minimum GPU free 906 MiB across 323 samples. Decode returned to 36.911 tok/s, proving the first control's 23.456 tok/s was an outlier.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/baseline-default-stream-repeat2-42k-20260711_212654.csv
26	control	decode-baseline	decode-default-512-repeat2		512	256	512	11.828	511	Fixed 511-token prompt and forced 512-token decode: 45.260 tok/s, TTFT 526.469 ms, minimum free VRAM 815 MiB.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/decode-default-512-repeat2-20260711_2136.csv
27	control	decode-baseline-repeat	decode-default-512-repeat3		512	256	512	11.713	511	Identical repeat: 45.409 tok/s, TTFT 444.150 ms, minimum free VRAM 837 MiB.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/decode-default-512-repeat3-20260711_2137.csv
28	discard	mtp-decode-challenger	decode-mtp-512		512	256	512	8.022	511	MTP produced 72.186 tok/s with 78.338% draft acceptance, but minimum free VRAM fell to 383 MiB.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/decode-mtp-512-20260711_2139.csv
29	discard	mtp-decode-repeat	decode-mtp-512-repeat2		512	256	512	7.556	511	Repeat produced 73.059 tok/s with 78.987% draft acceptance, but minimum free VRAM fell to 334 MiB.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/decode-mtp-512-repeat2-20260711_2139.csv
30	discard	mtp-prefill-regression	mtp-stream-42k	1006.671	512	256	42000	43.448	41383	Cold 42k MTP TTFT was 41465.845 ms and minimum free VRAM only 80 MiB; both prefill and safety margin regressed versus the non-MTP controls.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/challenger-mtp-stream-42k-20260711_2140.csv
31	discard	mtp-workflow-gate-fail	hermes-workflow-gate-mtp		512	256	12000	18.700	12424	Only two of four cases passed: tool selection and continuation summary emitted invalid JSON. Combined with the 80 MiB 42k VRAM floor, reject this MTP profile for 65k production.	docs/artifacts/autoresearch-prefill-loop-2026-06-25/hermes-workflow-gate-mtp-20260711_2141.csv
